Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Prediction
192.168.31.1-192.168.31.48-53-62018-6,192.168.31.48,62018,192.168.31.1,53,6,16/07/2025 03:57:35 PM,628860,5,4,98.0,0.0,49.0,0.0,19.6,25.948024973010952,0.0,0.0,0.0,0.0,155.83754730782687,14.311611487453488,78607.5,217765.32179324207,617539.0,41.0,625875.0,156468.75,309049.73982125166,620026.0,41.0,11321.0,3773.6666666666665,1560.2170789134866,5575.0,2847.0,0,0,0,0,100,128,7.950895270807493,6.3607162166459945,0.0,49.0,9.8,20.1483387790546,405.9555555555555,0,1,0,0,0,0,0,0,0.0,10.88888888888889,19.6,0.0,0,0,0,0,0,0,5,98,4,0,-1,913,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62049-6,192.168.31.48,62049,192.168.31.1,53,6,16/07/2025 03:57:38 PM,424575,5,4,102.0,0.0,51.0,0.0,20.4,27.04255905050408,0.0,0.0,0.0,0.0,240.24024024024024,21.197668256491788,53071.875,141579.08845128375,403135.0,29.0,423288.0,105822.0,199140.5718062829,404234.0,29.0,21440.0,7146.666666666667,10353.63802406349,19102.0,1151.0,0,0,0,0,100,128,11.77648236471766,9.421185891774128,0.0,51.0,10.2,20.99100336387525,440.6222222222222,0,1,0,0,0,0,0,0,0.0,11.333333333333334,20.4,0.0,0,0,0,0,0,0,5,102,4,0,-1,913,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62069-6,192.168.31.1,53,192.168.31.48,62069,6,16/07/2025 03:57:40 PM,157378,0,3,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,13.0,22.516660498395403,247.8110028085247,19.06238483142498,78689.0,111227.89668064391,157339.0,39.0,0.0,0.0,0.0,0.0,0.0,157378.0,78689.0,111227.89668064391,157339.0,39.0,0,0,0,0,0,84,0.0,19.06238483142498,0.0,39.0,9.75,19.5,380.25,0,1,0,0,1,0,0,0,0.0,13.0,0.0,13.0,0,0,0,0,0,0,0,0,3,39,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62068-6,192.168.31.1,53,192.168.31.48,62068,6,16/07/2025 03:57:40 PM,157377,0,3,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,13.0,22.516660498395403,247.81257744143048,19.06250595703312,78688.5,111173.44945849256,157300.0,77.0,0.0,0.0,0.0,0.0,0.0,157377.0,78688.5,111173.44945849256,157300.0,77.0,0,0,0,0,0,84,0.0,19.06250595703312,0.0,39.0,9.75,19.5,380.25,0,1,0,0,1,0,0,0,0.0,13.0,0.0,13.0,0,0,0,0,0,0,0,0,3,39,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62086-6,192.168.31.1,53,192.168.31.48,62086,6,16/07/2025 03:57:44 PM,134476,0,3,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,16.0,27.712812921102035,356.9410154971891,22.30881346857432,67238.0,94950.2985777296,134378.0,98.0,0.0,0.0,0.0,0.0,0.0,134476.0,67238.0,94950.2985777296,134378.0,98.0,0,0,0,0,0,84,0.0,22.30881346857432,0.0,48.0,12.0,24.0,576.0,0,1,0,0,1,0,0,0,0.0,16.0,0.0,16.0,0,0,0,0,0,0,0,0,3,48,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62087-6,192.168.31.1,53,192.168.31.48,62087,6,16/07/2025 03:57:44 PM,134927,0,3,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,16.0,27.712812921102035,355.747922950929,22.234245184433064,67463.5,95122.12552555792,134725.0,202.0,0.0,0.0,0.0,0.0,0.0,134927.0,67463.5,95122.12552555792,134725.0,202.0,0,0,0,0,0,84,0.0,22.234245184433064,0.0,48.0,12.0,24.0,576.0,0,1,0,0,1,0,0,0,0.0,16.0,0.0,16.0,0,0,0,0,0,0,0,0,3,48,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.48-2.19.54.25-0-0-0,192.168.31.48,0,2.19.54.25,0,0,16/07/2025 03:57:20 PM,142,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14084.50704225352,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7042.2535211267605,7042.2535211267605,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62018-6,192.168.31.48,62018,192.168.31.1,53,6,16/07/2025 03:57:35 PM,628860,5,4,98.0,0.0,49.0,0.0,19.6,25.948024973010952,0.0,0.0,0.0,0.0,155.83754730782687,14.311611487453488,78607.5,217765.32179324207,617539.0,41.0,625875.0,156468.75,309049.73982125166,620026.0,41.0,11321.0,3773.6666666666665,1560.2170789134866,5575.0,2847.0,0,0,0,0,100,128,7.950895270807493,6.3607162166459945,0.0,49.0,9.8,20.1483387790546,405.9555555555555,0,1,0,0,0,0,0,0,0.0,10.88888888888889,19.6,0.0,0,0,0,0,0,0,5,98,4,0,-1,913,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62049-6,192.168.31.48,62049,192.168.31.1,53,6,16/07/2025 03:57:38 PM,424575,5,4,102.0,0.0,51.0,0.0,20.4,27.04255905050408,0.0,0.0,0.0,0.0,240.24024024024024,21.197668256491788,53071.875,141579.08845128375,403135.0,29.0,423288.0,105822.0,199140.5718062829,404234.0,29.0,21440.0,7146.666666666667,10353.63802406349,19102.0,1151.0,0,0,0,0,100,128,11.77648236471766,9.421185891774128,0.0,51.0,10.2,20.99100336387525,440.6222222222222,0,1,0,0,0,0,0,0,0.0,11.333333333333334,20.4,0.0,0,0,0,0,0,0,5,102,4,0,-1,913,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62069-6,192.168.31.1,53,192.168.31.48,62069,6,16/07/2025 03:57:40 PM,157378,0,3,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,13.0,22.516660498395403,247.8110028085247,19.06238483142498,78689.0,111227.89668064391,157339.0,39.0,0.0,0.0,0.0,0.0,0.0,157378.0,78689.0,111227.89668064391,157339.0,39.0,0,0,0,0,0,84,0.0,19.06238483142498,0.0,39.0,9.75,19.5,380.25,0,1,0,0,1,0,0,0,0.0,13.0,0.0,13.0,0,0,0,0,0,0,0,0,3,39,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62068-6,192.168.31.1,53,192.168.31.48,62068,6,16/07/2025 03:57:40 PM,157377,0,3,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,13.0,22.516660498395403,247.81257744143048,19.06250595703312,78688.5,111173.44945849256,157300.0,77.0,0.0,0.0,0.0,0.0,0.0,157377.0,78688.5,111173.44945849256,157300.0,77.0,0,0,0,0,0,84,0.0,19.06250595703312,0.0,39.0,9.75,19.5,380.25,0,1,0,0,1,0,0,0,0.0,13.0,0.0,13.0,0,0,0,0,0,0,0,0,3,39,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62086-6,192.168.31.1,53,192.168.31.48,62086,6,16/07/2025 03:57:44 PM,134476,0,3,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,16.0,27.712812921102035,356.9410154971891,22.30881346857432,67238.0,94950.2985777296,134378.0,98.0,0.0,0.0,0.0,0.0,0.0,134476.0,67238.0,94950.2985777296,134378.0,98.0,0,0,0,0,0,84,0.0,22.30881346857432,0.0,48.0,12.0,24.0,576.0,0,1,0,0,1,0,0,0,0.0,16.0,0.0,16.0,0,0,0,0,0,0,0,0,3,48,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.1-192.168.31.48-53-62087-6,192.168.31.1,53,192.168.31.48,62087,6,16/07/2025 03:57:44 PM,134927,0,3,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,16.0,27.712812921102035,355.747922950929,22.234245184433064,67463.5,95122.12552555792,134725.0,202.0,0.0,0.0,0.0,0.0,0.0,134927.0,67463.5,95122.12552555792,134725.0,202.0,0,0,0,0,0,84,0.0,22.234245184433064,0.0,48.0,12.0,24.0,576.0,0,1,0,0,1,0,0,0,0.0,16.0,0.0,16.0,0,0,0,0,0,0,0,0,3,48,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
192.168.31.48-2.19.54.25-0-0-0,192.168.31.48,0,2.19.54.25,0,0,16/07/2025 03:57:20 PM,142,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14084.50704225352,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7042.2535211267605,7042.2535211267605,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,Benign
